VBB-Nr;HAFAS-Nr;NAME;KOORDINATE_Y;KOORDINATE_X;lat;lon
12104;9012104;Berlin, Lindenstr./Oranienstr.;5820232;4595049;52.506962;13.398369
12105;9012105;Berlin, Abgeordnetenhaus;5820162;4593780;52.506553;13.379666
12106;9012106;Berlin, MehringbrŸcke;5819220;4594450;52.497974;13.389263
12151;9012151;Berlin, Willy-Brandt-Haus;5819489;4594321;52.500413;13.387440
12152;9012152;Berlin, BlŸcherstr.;5819010;4594870;52.496015;13.395386
12153;9012153;Berlin, Wilhelmstr./Kochstr.;5820097;4594236;52.505890;13.386361
12154;9012154;Berlin, Charlottenstr.;5820217;4594721;52.506885;13.393536
12155;9012155;Berlin, Waldeckpark;5820149;4595286;52.506175;13.401835
12156;9012156;Berlin, Alexandrinenstr.;5820040;4595525;52.505154;13.405322
12157;9012157;Berlin, JŸdisches Museum;5819848;4594871;52.503543;13.395639
12158;9012158;Berlin, Franz-KlŸhs-Str.;5819499;4594821;52.500417;13.394804
12159;9012159;Berlin, Kommandantenstr.;5820319;4595442;52.507675;13.404180
12161;9012161;Berlin, Wilhelmstr./Franz-KlŸhs-Str.;5819602;4594398;52.501415;13.388606
13101;9013101;U Moritzplatz (Berlin);5819890;4595910;52.503739;13.410947
13102;9013102;U Kottbusser Tor (Berlin);5819400;4596410;52.499249;13.418167
13103;9013103;U Prinzenstr. (Berlin);5819276;4595622;52.498274;13.406531
13104;9013104;Berlin, Prinzenstr./Ritterstr.;5819655;4595801;52.501647;13.409275
13151;9013151;Berlin, Segitzdamm;5819505;4596148;52.500239;13.414340
13152;9013152;Berlin, Oranienplatz;5819730;4596238;52.502244;13.415730
14101;9014101;U Gšrlitzer Bahnhof (Berlin);5819390;4597110;52.499035;13.428468
14102;9014102;U Schlesisches Tor (Berlin);5819600;4598020;52.500759;13.441926
14103;9014103;Berlin, Adalbertstr./Oranienstr.;5819628;4596482;52.501285;13.419293
14104;9014104;Berlin, Manteuffelstr./Kšpenicker Str.;5820129;4597336;52.505634;13.432011
14105;9014105;Berlin, Waldemarstr./Manteuffelstr.;5819627;4597068;52.501172;13.427919
14106;9014106;Berlin, Lausitzer Platz;5819443;4597343;52.499470;13.431914
14107;9014107;Berlin, Bethaniendamm;5820300;4597090;52.507214;13.428439
14151;9014151;Berlin, Waldemarstr./Adalbertstr.;5819810;4596650;52.502890;13.421819
14152;9014152;Berlin, Mariannenplatz;5819737;4596828;52.502203;13.424418
14153;9014153;Berlin, Wrangelstr.;5819888;4597205;52.503492;13.430012
14154;9014154;Berlin, Eisenbahnstr.;5820004;4597537;52.504475;13.434934
14155;9014155;Berlin, Falckensteinstr.;5819524;4598159;52.500052;13.443949
14156;9014156;Berlin, Heinrichplatz;5819520;4596730;52.500271;13.422912
15101;9015101;Berlin, Heckmannufer;5819193;4598529;52.497011;13.449298
15103;9015103;Berlin, Glogauer Str.;5818790;4597720;52.493536;13.437272
15104;9015104;Berlin, Ohlauer Str.;5819007;4597254;52.495569;13.430476
15151;9015151;Berlin, Taborstr.;5819324;4598388;52.498214;13.447261
15152;9015152;Berlin, Spreewaldplatz;5819239;4597304;52.497644;13.431280
16101;9016101;U Gneisenaustr. (Berlin);5818480;4594880;52.491252;13.395382
16103;9016103;Berlin, Zossener BrŸcke;5819279;4594896;52.498427;13.395845
16151;9016151;Berlin, Marheinekeplatz;5818270;4594778;52.489383;13.393821
16152;9016152;Berlin, JŸterboger Str.;5817922;4594825;52.486248;13.394414
16153;9016153;Berlin, Gneisenaustr./Baerwaldstr.;5818390;4595210;52.490386;13.400214
16154;9016154;Berlin, Urbanstr./Baerwaldstr.;5818786;4595404;52.493910;13.403182
16157;9016157;Berlin, Tempelherrenstr.;5818830;4595230;52.494335;13.400634
16201;9016201;U Schšnleinstr. (Berlin);5818730;4596700;52.493179;13.422241
16202;9016202;U SŸdstern (Berlin);5818270;4595720;52.489219;13.407685
16203;9016203;Berlin, Geibelstr.;5818730;4595650;52.493363;13.406787
16204;9016204;Berlin, Kšrtestr.;5818590;4596030;52.492039;13.412340
16250;9016250;Berlin, Hasenheide;5818100;4596490;52.487556;13.418968
16251;9016251;Berlin, Fichtestr.;5818179;4596082;52.488338;13.412987
16252;9016252;Berlin, Graefestr.;5818476;4596291;52.490969;13.416148
16254;9016254;Berlin, Wilmsstr.;5818930;4595480;52.495190;13.404342
16255;9016255;Berlin, Kottbusser BrŸcke;5818990;4596590;52.495534;13.420698
17100;9017100;Berlin, Obentrautstr.;5818980;4594460;52.495817;13.389342
17101;9017101;U Mehringdamm (Berlin);5818729;4594384;52.493575;13.388153
17102;9017102;U Platz der LuftbrŸcke (Berlin);5817770;4594280;52.484977;13.386351
